10001 1
1000	0.0000000000000000
1001	0.0000000000000000
1002	0.0000000000000000
1003	0.0000000000000000
1004	0.0000000000000000
1005	0.0000000000000000
1006	0.0000000000000000
1007	0.0000000000000000
1008	0.0000000000000000
1009	0.0000000000000000
1010	0.0000000000000000
1011	0.0000000000000000
1012	0.0000000000000000
1013	0.0000000000000000
1014	0.0000000000000000
1015	0.0000000000000000
1016	0.0000000000000000
1017	0.0000000000000000
1018	0.0000000000000000
1019	0.0000000000000000
1020	0.0000000000000000
1021	0.0000000000000000
1022	0.0000000000000000
1023	0.0000000000000000
1024	0.0000000000000000
1025	0.0000000000000000
1026	0.0000000000000000
1027	0.0000000000000000
1028	0.0000000000000000
1029	0.0000000000000000
1030	0.0000000000000000
1031	0.0000000000000000
1032	0.0000000000000000
1033	0.0000000000000000
1034	0.0000000000000000
1035	0.0000000000000000
1036	0.0000000000000000
1037	0.0000000000000000
1038	0.0000000000000000
1039	0.0000000000000000
1040	0.0000000000000000
1041	0.0000000000000000
1042	0.0000000000000000
1043	0.0000000000000000
1044	0.0000000000000000
1045	0.0000000000000000
1046	0.0000000000000000
1047	0.0000000000000000
1048	0.0000000000000000
1049	0.0000000000000000
1050	0.0000000000000000
1051	0.0000000000000000
1052	0.0000000000000000
1053	0.0000000000000000
1054	0.0000000000000000
1055	0.0000000000000000
1056	0.0000000000000000
1057	0.0000000000000000
1058	0.0000000000000000
1059	0.0000000000000000
1060	0.0000000000000000
1061	0.0000000000000000
1062	0.0000000000000000
1063	0.0000000000000000
1064	0.0000000000000000
1065	0.0000000000000000
1066	0.0000000000000000
1067	0.0000000000000000
1068	0.0000000000000000
1069	0.0000000000000000
1070	0.0000000000000000
1071	0.0000000000000000
1072	0.0000000000000000
1073	0.0000000000000000
1074	0.0000000000000000
1075	0.0000000000000000
1076	0.0000000000000000
1077	0.0000000000000000
1078	0.0000000000000000
1079	0.0000000000000000
1080	0.0000000000000000
1081	0.0000000000000000
1082	0.0000000000000000
1083	0.0000000000000000
1084	0.0000000000000000
1085	0.0000000000000000
1086	0.0000000000000000
1087	0.0000000000000000
1088	0.0000000000000000
1089	0.0000000000000000
1090	0.0000000000000000
1091	0.0000000000000000
1092	0.0000000000000000
1093	0.0000000000000000
1094	0.0000000000000000
1095	0.0000000000000000
1096	0.0000000000000000
1097	0.0000000000000000
1098	0.0000000000000000
1099	0.0000000000000000
1100	0.0000000000000000
1101	0.0000000000000000
1102	0.0000000000000000
1103	0.0000000000000000
1104	0.0000000000000000
1105	0.0000000000000000
1106	0.0000000000000000
1107	0.0000000000000000
1108	0.0000000000000000
1109	0.0000000000000000
1110	0.0000000000000000
1111	0.0000000000000000
1112	0.0000000000000000
1113	0.0000000000000000
1114	0.0000000000000000
1115	0.0000000000000000
